gender,study_time,attendance,previous_marks,behavior_score,internet_usage,performance
female,2,62,97,3,1,Average
male,1,99,85,2,1,Average
female,2,97,42,2,1,Average
male,2,80,64,3,1,Average
male,1,97,99,5,0,Average
female,4,90,59,2,1,Excellent
male,2,57,55,4,1,Average
male,2,100,57,5,0,Average
female,2,50,42,5,1,Average
male,3,99,45,2,0,Average
female,1,93,79,3,0,Average
male,3,91,49,5,0,Excellent
male,4,64,60,5,1,Excellent
female,2,51,84,4,1,Average
male,3,52,71,4,1,Average
female,2,86,51,5,1,Average
female,4,67,95,5,0,Excellent
male,2,78,58,3,1,Average
female,1,99,80,5,1,Average
male,1,89,94,3,0,Average
female,1,92,74,4,0,Average
female,2,89,58,3,1,Average
female,1,56,73,1,0,Poor
male,2,52,52,1,1,Poor
male,1,52,76,4,1,Average
female,1,73,54,5,0,Average
male,2,91,71,1,1,Average
male,3,85,87,4,1,Excellent
male,3,83,42,1,1,Average
male,2,83,46,1,0,Poor
female,2,62,73,2,0,Average
female,1,99,80,5,1,Average
female,4,56,50,2,1,Average
female,2,84,78,4,1,Average
female,3,73,66,4,1,Excellent
male,2,74,89,5,1,Excellent
female,4,78,65,1,0,Average
female,1,83,48,3,0,Poor
female,2,63,94,3,0,Average
female,2,56,42,4,1,Average
male,2,66,63,5,0,Average
male,3,69,45,5,1,Excellent
male,1,96,60,4,0,Average
female,1,88,81,3,0,Average
female,1,99,43,3,1,Average
female,4,57,95,2,0,Average
female,1,69,73,1,1,Poor
male,3,82,84,2,0,Average
male,4,78,88,5,0,Excellent
male,4,68,90,4,0,Excellent
male,3,55,70,5,0,Average
female,3,55,65,5,1,Excellent
male,2,80,75,2,1,Average
female,2,85,79,5,0,Average
male,1,67,89,4,1,Average
male,1,92,66,4,1,Average
female,2,70,62,5,0,Average
female,2,72,79,4,0,Average
female,1,64,52,3,0,Poor
male,1,97,43,2,0,Poor
female,1,71,84,1,1,Average
female,4,51,61,2,0,Average
male,3,85,70,5,0,Excellent
male,4,87,97,5,0,Excellent
female,2,53,58,2,1,Average
male,4,91,100,1,0,Excellent
female,3,92,94,3,0,Excellent
male,3,91,64,2,1,Average
male,3,81,95,5,0,Excellent
male,2,82,69,5,0,Average
male,2,83,59,3,1,Average
female,2,51,62,3,1,Average
female,2,82,57,1,1,Average
female,1,85,100,3,0,Average
male,3,75,82,2,0,Average
female,2,76,55,5,0,Average
female,3,88,61,4,0,Average
male,2,87,74,2,0,Average
female,2,77,98,2,0,Average
female,1,85,74,1,0,Poor
female,2,96,41,3,1,Average
female,3,78,87,3,0,Average
male,1,58,51,1,1,Poor
male,2,64,83,1,1,Average
male,4,58,72,5,1,Excellent
female,2,74,71,4,0,Average
male,2,64,42,4,0,Average
female,4,64,87,2,0,Average
male,2,78,95,5,1,Excellent
female,4,65,67,4,0,Excellent
female,3,75,79,5,0,Excellent
male,4,79,92,1,0,Average
female,1,85,64,5,0,Average
male,3,78,65,3,1,Average
female,2,77,58,5,0,Average
male,4,91,68,1,0,Average
male,2,75,66,3,1,Average
male,2,79,77,2,1,Average
male,3,70,84,2,0,Average
male,1,95,68,3,0,Average
female,2,74,75,4,0,Average
male,3,86,95,2,0,Average
male,2,99,85,1,1,Average
female,3,96,89,4,1,Excellent
male,1,58,52,1,1,Poor
male,4,81,94,4,0,Excellent
female,2,63,77,4,1,Average
female,4,55,78,5,0,Excellent
male,3,89,80,5,0,Excellent
male,2,59,43,3,0,Average
male,1,92,76,5,1,Average
female,1,53,46,4,0,Poor
male,3,89,82,5,0,Excellent
female,3,52,45,3,1,Average
female,4,54,88,4,0,Excellent
female,4,58,47,3,1,Average
female,2,94,53,5,0,Average
male,1,80,86,5,1,Average
female,3,66,73,5,1,Excellent
male,4,83,86,4,1,Excellent
male,2,95,58,2,0,Average
male,1,79,80,1,0,Poor
female,4,52,61,3,0,Average
male,2,94,58,3,0,Average
female,3,82,75,3,0,Average
male,3,71,65,5,0,Average
male,2,71,93,3,1,Average
female,1,91,48,4,0,Average
female,3,79,90,4,0,Excellent
female,3,85,74,1,0,Average
female,3,54,49,3,0,Average
female,4,90,74,2,1,Excellent
male,1,100,88,3,1,Average
male,3,76,45,4,0,Average
female,4,69,53,5,1,Excellent
male,1,73,90,1,0,Poor
male,4,82,41,4,0,Excellent
male,3,80,86,5,1,Excellent
female,2,99,95,1,0,Average
male,1,79,64,5,0,Average
male,3,52,83,5,0,Average
female,4,52,46,5,1,Excellent
male,3,90,97,2,1,Excellent
male,2,68,57,5,1,Average
female,1,67,49,2,1,Poor
male,1,89,75,5,0,Average
male,3,85,60,3,0,Average
female,2,60,44,3,1,Average
female,1,58,41,4,0,Poor
male,4,53,45,4,1,Excellent
male,4,89,62,3,1,Excellent
male,1,98,88,4,0,Average
male,4,56,69,3,1,Excellent
female,2,64,49,5,1,Average
female,4,61,84,3,1,Excellent
female,4,51,44,4,0,Average
female,4,79,94,2,1,Excellent
female,2,82,46,4,0,Average
female,1,100,59,5,1,Average
female,4,65,79,2,0,Average
female,4,54,61,2,1,Average
female,3,84,84,2,0,Average
male,4,57,77,5,1,Excellent
female,1,78,51,3,1,Average
male,1,93,92,5,1,Average
female,4,91,82,1,0,Average
male,2,87,97,1,0,Average
male,4,84,58,4,1,Excellent
male,2,93,96,3,1,Average
female,4,95,98,3,0,Excellent
male,4,58,94,3,0,Excellent
female,1,50,85,5,1,Average
male,3,51,55,4,1,Average
female,4,75,64,4,0,Excellent
male,4,58,52,5,1,Excellent
female,4,59,58,2,0,Average
male,1,91,41,2,1,Average
female,2,55,48,4,1,Average
female,2,79,72,4,1,Average
female,3,64,51,4,0,Average
female,2,95,72,3,1,Average
female,1,52,76,4,1,Average
male,4,94,45,2,1,Excellent
female,1,83,96,5,0,Average
male,4,90,87,1,1,Excellent
male,3,84,89,1,1,Average
female,4,86,86,3,1,Excellent
female,3,68,50,1,1,Average
female,1,90,70,5,0,Average
male,3,97,79,1,1,Average
female,1,58,72,1,1,Poor
female,2,89,57,3,1,Average
male,1,88,51,5,0,Average
female,3,61,56,2,1,Average
male,1,71,45,2,0,Poor
female,4,99,64,2,1,Excellent
male,2,86,86,3,0,Average
female,1,53,50,4,1,Average
female,3,80,87,5,0,Excellent
female,4,80,56,2,1,Excellent
male,3,78,64,3,0,Average
male,3,77,79,3,1,Excellent
female,3,56,56,5,1,Excellent
female,2,96,83,5,0,Average
female,2,70,75,1,0,Average
male,1,76,46,5,0,Average
female,3,64,86,3,1,Excellent
male,1,51,79,1,0,Poor
male,1,95,47,1,0,Poor
female,2,57,84,2,1,Average
female,4,92,99,1,1,Excellent
female,4,94,97,3,1,Excellent
male,1,67,89,1,1,Average
female,3,53,56,3,0,Average
female,1,81,99,2,1,Average
male,4,56,49,5,1,Excellent
male,1,78,85,3,0,Average
male,1,54,76,3,1,Average
male,4,59,81,1,0,Average
female,3,59,84,3,1,Average
male,4,80,67,4,0,Excellent
male,1,74,84,4,0,Average
female,3,93,59,4,0,Average
male,3,84,94,3,0,Average
female,3,91,52,2,0,Average
female,2,69,84,4,0,Average
female,4,55,96,4,0,Excellent
male,1,62,41,5,0,Average
female,4,54,90,5,1,Excellent
female,4,51,42,3,0,Average
female,1,75,47,2,1,Poor
male,2,54,42,2,1,Average
male,4,89,42,2,0,Average
male,2,90,43,3,0,Average
female,2,87,44,1,0,Poor
female,2,54,91,2,1,Average
female,4,70,47,5,0,Excellent
female,2,98,42,5,0,Average
female,1,57,57,2,1,Poor
male,3,85,50,4,0,Average
male,2,56,90,5,1,Average
male,1,81,45,1,0,Poor
male,1,95,81,5,1,Average
female,4,94,48,2,0,Average
female,4,76,55,2,0,Average
male,4,89,100,1,1,Excellent
female,4,50,75,2,0,Average
male,1,89,63,5,0,Average
female,2,67,43,2,0,Poor
male,4,81,51,2,0,Average
male,3,68,53,4,1,Average
female,4,52,46,1,0,Average
male,1,81,72,1,0,Poor
male,4,87,77,3,1,Excellent
male,3,64,89,1,1,Average
male,1,65,87,4,0,Average
female,2,54,70,5,1,Average
male,4,59,53,5,1,Excellent
male,4,73,48,4,0,Excellent
female,3,62,61,2,0,Average
male,3,58,47,4,1,Average
female,2,98,61,2,1,Average
male,2,86,75,2,0,Average
female,4,63,77,4,1,Excellent
female,1,96,67,2,0,Average
female,4,87,54,5,0,Excellent
male,4,52,42,4,0,Average
female,4,80,91,1,1,Excellent
female,2,55,75,1,1,Average
male,2,72,58,2,0,Average
male,4,92,59,2,1,Excellent
male,4,79,89,2,1,Excellent
male,3,90,69,1,0,Average
female,3,83,42,3,1,Average
female,2,100,83,1,1,Average
male,3,53,47,4,1,Average
female,1,73,63,2,0,Poor
male,2,71,55,5,0,Average
female,2,98,87,2,1,Average
female,3,82,83,4,1,Excellent
male,1,73,62,4,1,Average
male,4,95,74,5,1,Excellent
female,3,93,100,1,0,Average
female,1,55,65,2,1,Poor
male,1,60,57,1,0,Poor
female,2,63,73,1,1,Average
female,2,80,62,4,1,Average
male,3,62,44,1,0,Average
female,4,87,61,3,1,Excellent
female,4,69,76,2,1,Excellent
male,3,64,70,3,1,Average
male,2,72,58,4,0,Average
male,3,61,51,2,0,Average
male,1,52,60,5,0,Average
female,3,73,51,2,0,Average
female,3,59,63,4,0,Average
female,1,51,65,4,0,Poor
female,3,59,40,5,1,Average
female,4,68,100,5,0,Excellent
female,3,94,47,4,0,Average
male,1,69,41,4,0,Poor
female,3,55,60,1,0,Average
male,3,62,41,1,1,Average
male,4,62,71,3,0,Average
female,4,59,85,4,1,Excellent
female,3,50,58,3,1,Average
female,4,85,45,2,1,Excellent
female,4,68,50,4,1,Excellent
male,1,59,53,3,1,Average
female,1,87,88,4,0,Average
male,4,90,98,3,1,Excellent
male,4,95,76,2,0,Excellent

